Year,Tournament,Winner,Runner-up,Score
1962,U.S. National Championships,Margaret Smith,Darlene R. Hard,"9–7, 6–4"
1962,Wimbledon Championships,Karen Susman,Vera Suková,"6–4, 6–4"
1962,French Championships,Margaret Smith,Lesley Turner,"6–3, 3–6, 7–5"
1962,Australian Championships,Margaret Smith,Jan Lehane,"6–0, 6–2"
1961,U.S. National Championships,Darlene R. Hard,Ann Haydon,"6–3, 6–4"
1961,Wimbledon Championships,Angela Mortimer,Christine Truman,"4–6, 6–4, 7–5"
1961,French Championships,Ann Haydon,Yola Ramírez,"6–2, 6–1"
1961,Australian Championships,Margaret Smith,Jan Lehane,"6–1, 6–4"
1960,U.S. National Championships,Darlene R. Hard,Maria Bueno,"6–4, 10–12, 6–4"
1960,Wimbledon Championships,Maria Bueno,Sandra Reynolds,"8–6, 6–0"
1960,French Championships,Darlene R. Hard,Yola Ramírez,"6–3, 6–4"
1960,Australian Championships,Margaret Smith,Jan Lehane,"7–5, 6–2"
1959,U.S. National Championships,Maria Bueno,Christine Truman,"6–1, 6–4"
1959,Wimbledon Championships,Maria Bueno,Darlene Hard,"6–4, 6–3"
1959,French Championships,Christine Truman,Zsuzsi Körmöczy,"6–4, 7–5"
1959,Australian Championships,Mary Carter Reitano,Renée Schuurman,"6–2, 6–3"
1958,U.S. National Championships,Althea Gibson,Darlene R. Hard,"3–6, 6–1, 6–2"
1958,Wimbledon Championships,Althea Gibson,Angela Mortimer,"8–6, 6–2"
1958,French Championships,Zsuzsi Körmöczy,Shirley Bloomer,"6–4, 1–6, 6–2"
1958,Australian Championships,Angela Mortimer,Lorraine Coghlan,"6–3, 6–4"
1957,U.S. National Championships,Althea Gibson,A. Louise Brough,"6–3, 6–2"
1957,Wimbledon Championships,Althea Gibson,Darlene Hard,"6–3, 6–2"
1957,French Championships,Shirley Bloomer,Dorothy Head Knode,"6–1, 6–3"
1957,Australian Championships,Shirley Fry,Althea Gibson,"6–3, 6–4"
1956,U.S. National Championships,Shirley Fry,Althea Gibson,"6–3, 6–4"
1956,Wimbledon Championships,Shirley Fry,Angela Buxton,"6–3, 6–1"
1956,French Championships,Althea Gibson,Angela Mortimer,"6–0, 12–10"
1956,Australian Championships,Mary Carter,Thelma Long,"3–6, 6–2, 9–7"
1955,U.S. National Championships,Doris Hart,Patricia Ward,"6–4, 6–2"
1955,Wimbledon Championships,Louise Brough,Beverly Fleitz,"7–5, 8–6"
1955,French Championships,Angela Mortimer,Dorothy Head Knode,"2–6, 7–5, 10–8"
1955,Australian Championships,Beryl Penrose,Thelma Long,"6–4, 6–3"
1954,U.S. National Championships,Doris Hart,A. Louise Brough,"6–8, 6–1, 8–6"
1954,Wimbledon Championships,Maureen Connolly,Louise Brough,"6–2, 7–5"
1954,French Championships,Maureen Connolly,Ginette Bucaille,"6–4, 6–1"
1954,Australian Championships,Thelma Long,Jennifer Staley,"6–3, 6–4"
1953,U.S. National Championships,Maureen Connolly,Doris Hart,"6–2, 6–4"
1953,Wimbledon Championships,Maureen Connolly,Doris Hart,"8–6, 7–5"
1953,French Championships,Maureen Connolly,Doris Hart,"6–2, 6–4"
1953,Australian Championships,Maureen Connolly,Julia Sampson,"6–3, 6–2"
1952,U.S. National Championships,Maureen Connolly,Doris Hart,"6–3, 7–5"
1952,Wimbledon Championships,Maureen Connolly,Louise Brough,"7–5, 6–3"
1952,French Championships,Doris Hart,Shirley Fry,"6–4, 6–4"
1952,Australian Championships,Thelma Long,Helen Angwin,"6–2, 6–3"
1951,U.S. National Championships,Maureen Connolly,Shirley Fry,"6–3, 1–6, 6–4"
1951,Wimbledon Championships,Doris Hart,Shirley Fry,"6–1, 6–0"
1951,French Championships,Shirley Fry,Doris Hart,"6–3, 3–6, 6–3"
1951,Australian Championships,Nancye Wynne Bolton,Thelma Long-Coyne,"6–1, 7–5"
1950,U.S. National Championships,Margaret Osborne duPont,Doris Hart,"6–4, 6–3"
1950,Wimbledon Championships,Louise Brough,Margaret Osborne duPont,"6–1, 3–6, 6–1"
1950,French Championships,Doris Hart,Patricia Todd,"6–4, 4–6, 6–2"
1950,Australian Championships,A. Louise Brough,Doris Hart,"6–4, 3–6, 6–4"
1949,U.S. National Championships,Margaret Osborne duPont,Doris Hart,"6–3, 6–1"
1949,Wimbledon Championships,Louise Brough,Margaret Osborne duPont,"10–8, 1–6, 10–8"
1949,French Championships,Margaret Osborne duPont,Nelly Adamson,"7–5, 6–2"
1949,Australian Championships,Doris Hart,Nancye Bolton,"6–3, 6–4"
1948,U.S. National Championships,Margaret Osborne duPont,A. Louise Brough,"4–6, 6–4, 15–13"
1948,Wimbledon Championships,Louise Brough,Doris Hart,"6–3, 8–6"
1948,French Championships,Nelly Landry,Shirley Fry,"6–2, 0–6, 6–0"
1948,Australian Championships,Nancye Wynne Bolton,Marie Toomey,"6–3, 6–1"
1947,U.S. National Championships,A. Louise Brough,Margaret Osborne,"8–6, 4–6, 6–1"
1947,Wimbledon Championships,Margaret Osborne duPont,Doris Hart,"6–2, 6–4"
1947,French Championships,Patricia Todd,Doris Hart,"6–3, 3–6, 6–4"
1947,Australian Championships,Nancye Wynne Bolton,Nell Hopman,"6–3, 6–2"
1946,U.S. National Championships,Pauline Betz,Doris Hart,"11–9, 6–3"
1946,Wimbledon Championships,Pauline Betz,Louise Brough,"6–2, 6–4"
1946,French Championships,Margaret Osborne duPont,Pauline Betz,"1–6, 8–6, 7–5"
1946,Australian Championships,Nancye Wynne Bolton,Joyce Fitch,"6–4, 6–4"
1945,U.S. National Championships,Sarah Palfrey Cooke,Pauline Betz,"3–6, 8–6, 6–4"
1944,U.S. National Championships,Pauline Betz,Margaret Osborne,"6–3, 8–6"
1943,U.S. National Championships,Pauline Betz,A. Louise Brough,"6–3, 5–7, 6–3"
1942,U.S. National Championships,Pauline Betz,A. Louise Brough,"4–6, 6–1, 6–4"
1941,U.S. National Championships,Sarah Palfrey Cooke,Pauline Betz,"7–5, 6–2"
1940,U.S. National Championships,Alice Marble,Helen Jacobs,"6–2, 6–3"
1940,Australian Championships,Nancye Wynne Bolton,Thelma Coyne,"5–7, 6–4, 6–0"
1939,U.S. National Championships,Alice Marble,Helen Jacobs,"6–0, 8–10, 6–4"
1939,Wimbledon Championships,Alice Marble,Kay Stammers,"6–2, 6–0"
1939,French Championships,Simone Mathieu,Jadwiga Jędrzejowska,"6–3, 8–6"
1939,Australian Championships,Emily Westacott,Nell Hopman,"6–1, 6–2"
1938,U.S. National Championships,Alice Marble,Nancye Wynne,"6–0, 6–3"
1938,Wimbledon Championships,Helen Wills Moody,Helen Jacobs,"6–4, 6–0"
1938,French Championships,Simone Mathieu,Nelly Adamson,"6–0, 6–3"
1938,Australian Championships,Dorothy Bundy,Dorothy Stevenson,"6–3, 6–2"
1937,U.S. National Championships,Anita Lizana,Jadwiga Jędrzejowska,"6–4, 6–2"
1937,Wimbledon Championships,Dorothy Round,Jadwiga Jędrzejowska,"6–2, 2–6, 7–5"
1937,French Championships,Hilde Sperling,Simone Mathieu,"6–2, 6–4"
1937,Australian Championships,Nancye Wynne,Emily Westacott,"6–3, 5–7, 6–4"
1936,U.S. National Championships,Alice Marble,Helen Jacobs,"4–6, 6–3, 6–2"
1936,Wimbledon Championships,Helen Jacobs,Hilde Kranwinkel Sperling,"6–2, 4–6, 7–5"
1936,French Championships,Hilde Sperling,Simone Mathieu,"6–3, 6–4"
1936,Australian Championships,Joan Hartigan,Nancye Wynne,"6–4, 6–4"
1935,U.S. National Championships,Helen Jacobs,Sarah H. Palfrey,"6–2, 6–4"
1935,Wimbledon Championships,Helen Wills Moody,Helen Jacobs,"6–3, 3–6, 7–5"
1935,French Championships,Hilde Sperling,Simone Mathieu,"6–2, 6–1"
1935,Australian Championships,Dorothy Round,Nancy Lyle,"1–6, 6–1, 6–3"
1934,U.S. National Championships,Helen Jacobs,Sarah H. Palfrey,"6–1, 6–4"
1934,Wimbledon Championships,Dorothy Round,Helen Jacobs,"6–2, 5–7, 6–3"
1934,French Championships,Margaret Scriven,Helen Jacobs,"7–5, 4–6, 6–1"
1934,Australian Championships,Joan Hartigan,Margaret Molesworth,"6–1, 6–4"
1933,U.S. National Championships,Helen Jacobs,Helen Wills Moody,"8–6, 3–6, 3–0, ret"
1933,Wimbledon Championships,Helen Wills Moody,Dorothy Round,"6–4, 6–8, 6–3"
1933,French Championships,Margaret Scriven,Simone Mathieu,"6–2, 4–6, 6–4"
1933,Australian Championships,Joan Hartigan,Coral Buttsworth,"6–4, 6–3"
1932,U.S. National Championships,Helen Jacobs,Carolin A. Babcock,"6–2, 6–2"
1932,Wimbledon Championships,Helen Wills Moody,Helen Jacobs,"6–3, 6–1"
1932,French Championships,Helen Wills Moody,Simone Mathieu,"7–5, 6–1"
1932,Australian Championships,Coral Buttsworth,Katherine Le Messurier,"9–7, 6–4"
1931,U.S. National Championships,Helen Wills Moody,Eileen Bennett Whitingstall,"6–4, 6–1"
1931,Wimbledon Championships,Cilly Aussem,Hilde Kranwinkel,"6–2, 7–5"
1931,French Championships,Cilly Aussem,Betty Nuthall,"8–6, 6–1"
1931,Australian Championships,Coral Buttsworth,Margorie Crawford,"1–6, 6–3, 6–4"
1930,U.S. National Championships,Betty Nuthall,Anna McCune Harper,"6–1, 6–4"
1930,Wimbledon Championships,Helen Wills Moody,Elizabeth Ryan,"6–2, 6–2"
1930,French Championships,Helen Wills Moody,Helen Jacobs,"6–2, 6–1"
1930,Australian Championships,Daphne Akhurst,Sylvia Harper,"10–8, 2–6, 7–5"
1929,U.S. National Championships,Helen Wills,Phoebe Holcroft Watson,"6–4, 6–2"
1929,Wimbledon Championships,Helen Wills,Helen Jacobs,"6–1, 6–2"
1929,French Championships,Helen Wills,Simone Mathieu,"6–3, 6–4"
1929,Australian Championships,Daphne Akhurst,Louise Bickerton,"6–1, 5–7, 6–2"
1928,U.S. National Championships,Helen Wills,Helen J. Jacobs,"6–2, 6–1"
1928,Wimbledon Championships,Helen Wills,Lili de Alvarez,"6–2, 6–3"
1928,French Championships,Helen Wills,E. Bennett,"6–1, 6–2"
1928,Australian Championships,Daphne Akhurst,Esna Boyd,"7–5, 6–2"
1927,U.S. National Championships,Helen Wills,Betty Nuthall,"6–1, 6–4"
1927,Wimbledon Championships,Helen Wills,Lili de Alvarez,"6–2, 6–4"
1927,French Championships,Kornelia Bouman,Irene Peacock,"6–2, 6–4"
1927,Australian Championships,Esna Boyd,Sylvia Harper,"5–7, 6–1, 6–2"
1926,U.S. National Championships,Molla B. Mallory,Elizabeth Ryan,"4–6, 6–4, 9–7"
1926,Wimbledon Championships,Kathleen Godfree,Lili de Alvarez,"6–2, 4–6, 6–3"
1926,French Championships,Suzanne Lenglen,Mary Browne,"6–1, 6–0"
1926,Australasian Championships,Daphne Akhurst,Esna Boyd,"6–1, 6–3"
1925,U.S. National Championships,Helen Wills,Kathleen McKane,"3–6, 6–0, 6–2"
1925,Wimbledon Championships,Suzanne Lenglen,Joan Fry,"6–2, 6–0"
1925,French Championships,Suzanne Lenglen,Kathleen McKane,"6–1, 6–2"
1925,Australasian Championships,Daphne Akhurst,Esna Boyd,"1–6, 8–6, 6–4"
1924,U.S. National Championships,Helen Wills,Molla B. Mallory,"6–1, 6–3"
1924,Wimbledon Championships,Kathleen McKane,Helen Wills,"4–6, 6–4, 6–4"
1924,Australasian Championships,Sylvia Lance,Esna Boyd,"6–3, 3–6, 8–6"
1923,U.S. National Championships,Helen Wills,Molla B. Mallory,"6–2, 6–1"
1923,Wimbledon Championships,Suzanne Lenglen,Kathleen McKane,"6–2, 6–2"
1923,Australasian Championships,Margaret Molesworth,Esna Boyd,"6–1, 7–5"
1922,U.S. National Championships,Molla B. Mallory,Helen Wills,"6–3, 6–1"
1922,Wimbledon Championships,Suzanne Lenglen,Molla Mallory,"6–2, 6–0"
1922,Australasian Championships,Margaret Molesworth,Esna Boyd,"6–3, 10–8"
1921,U.S. National Championships,Molla B. Mallory,Mary K. Browne,"4–6, 6–4, 6–2"
1921,Wimbledon Championships,Suzanne Lenglen,Elizabeth Ryan,"6–2, 6–0"
1920,U.S. National Championships,Molla B. Mallory,Marion Zinderstein,"6–3, 6–1"
1920,Wimbledon Championships,Suzanne Lenglen,Dorothea Douglass Chambers,"6–3, 6–0"
1919,U.S. National Championships,Hazel Hotchkiss Wightman,Marion Zinderstein,"6–1, 6–2"
1919,Wimbledon Championships,Suzanne Lenglen,Dorothea Douglass Chambers,"10–8, 4–6, 9–7"
1918,U.S. National Championships,Molla Bjurstedt,Eleanor E. Goss,"6–4, 6–3"
1917,U.S. National Championships,Molla Bjurstedt,Marion Vanderhoef,"4–6, 6–0, 6–2"
1916,U.S. National Championships,Molla Bjurstedt,Louise Hammond Raymond,"6–0, 6–1"
1915,U.S. National Championships,Molla Bjurstedt,Hazel Hotchkiss Wightman,"4–6, 6–2, 6–0"
1914,U.S. National Championships,Mary Browne,Marie Wagner,"6–2, 1–6, 6–1"
1914,Wimbledon Championships,Lambert Chambers,Ethel Larcombe,"7–5, 6–4"
1913,U.S. National Championships,Mary Browne,Dorothy Green,"6–2, 7–5"
1913,Wimbledon Championships,Lambert Chambers,Winifred McNair,"6–0, 6–4"
1912,U.S. National Championships,Mary Browne,Eleonora Sears,"6–4, 6–2"
1912,Wimbledon Championships,Ethel Larcombe,Charlotte Cooper Sterry,"6–3, 6–1"
1911,U.S. National Championships,Hazel Hotchkiss,Florence Sutton,"8–10, 6–1, 9–7"
1911,Wimbledon Championships,Lambert Chambers,Dora Boothby,"6–0, 6–0"
1910,U.S. National Championships,Hazel Hotchkiss,Louise Hammond,"6–4, 6–2"
1910,Wimbledon Championships,Lambert Chambers,Dora Boothby,"6–2, 6–2"
1909,U.S. National Championships,Hazel Hotchkiss,Maud Barger-Wallach,"6–0, 6–1"
1909,Wimbledon Championships,Dora Boothby,Agnes Morton,"6–4, 4–6, 8–6"
1908,U.S. National Championships,Maud Barger Wallach,Evelyn Sears,"6–3, 1–6, 6–3"
1908,Wimbledon Championships,Charlotte Cooper Sterry,A. Morton,"6–4, 6–4"
1907,U.S. National Championships,Evelyn Sears,Carrie Neely,"6–3, 6–2"
1907,Wimbledon Championships,May Sutton,Dorothea Douglass Chambers,"6–1, 6–4"
1906,U.S. National Championships,Helen Homans,Maud Barger-Wallach,"6–4, 6–3"
1906,Wimbledon Championships,Dorothea Douglass,May Sutton,"6–3, 9–7"
1905,U.S. National Championships,Elisabeth Moore,Helen Homans,"6–4, 5–7, 6–1"
1905,Wimbledon Championships,May Sutton,Dorothea Douglass,"6–3, 6–4"
1904,U.S. National Championships,May Sutton,Elisabeth Moore,"6–1, 6–2"
1904,Wimbledon Championships,Dorothea Douglass,Charlotte Cooper Sterry,"6–0, 6–3"
1903,U.S. National Championships,Elisabeth Moore,Marion Jones,"7–5, 8–6"
1903,Wimbledon Championships,Dorothea Douglass,Ethel Thomson,"4–6, 6–4, 6–2"
1902,U.S. National Championships,Marion Jones,Elisabeth Moore,"6–1, 1–0, ret"
1902,Wimbledon Championships,Muriel Robb,Charlotte Cooper Sterry,"7–5, 6–1"
1901,U.S. National Championships,Elisabeth Moore,Myrtle McAteer,"6–4, 3–6, 7–5, 2–6, 6–2"
1901,Wimbledon Championships,Charlotte Cooper Sterry,Blanche Bingley Hillyard,"6–2, 6–2"
1900,U.S. National Championships,Myrtle McAteer,Edith Parker,"6–2, 6–2, 6–0"
1900,Wimbledon Championships,Blanche Bingley Hillyard,Charlotte Cooper,"4–6, 6–4, 6–4"
1899,U.S. National Championships,Marion Jones,Maud Banks,"6–1, 6–1, 7–5"
1899,Wimbledon Championships,Blanche Bingley Hillyard,Charlotte Cooper,"6–2, 6–3"
1898,U.S. National Championships,Juliette Atkinson,Marion Jones,"6–3, 5–7, 6–4, 2–6, 7–5"
1898,Wimbledon Championships,Charlotte Cooper,Louise Martin,"6–4, 6–4"
1897,U.S. National Championships,Juliette Atkinson,Elisabeth Moore,"6–3, 6–3, 4–6, 3–6, 6–3"
1897,Wimbledon Championships,Blanche Bingley Hillyard,Charlotte Cooper,"5–7, 7–5, 6–2"
1896,U.S. National Championships,Elisabeth Moore,Juliette Atkinson,"6–4, 4–6, 6–2, 6–2"
1896,Wimbledon Championships,Charlotte Cooper,Alice Pickering,"6–2, 6–3"
1895,U.S. National Championships,Juliette Atkinson,Helen Hellwig,"6–4, 6–2, 6–1"
1895,Wimbledon Championships,Charlotte Cooper,Helen Jackson,"7–5, 8–6"
1894,U.S. National Championships,Helen Hellwig,Aline Terry,"7–5, 3–6, 6–0, 3–6, 6–3"
1894,Wimbledon Championships,Blanche Bingley Hillyard,Edith Austin,"6–1, 6–1"
1893,U.S. National Championships,Aline Terry,Augusta Schultz,"6–1, 6–3"
1893,Wimbledon Championships,Lottie Dod,Blanche Bingley Hillyard,"6–8, 6–1, 6–4"
1892,U.S. National Championships,Mabel Cahill,Elisabeth Moore,"5–7, 6–3, 6–4, 4–6, 6–2"
1892,Wimbledon Championships,Lottie Dod,Blanche Bingley Hillyard,"6–1, 6–1"
1891,U.S. National Championships,Mabel Cahill,Ellen C Roosevelt,"6–4, 6–1, 4–6, 6–3"
1891,Wimbledon Championships,Lottie Dod,Blanche Bingley Hillyard,"6–2, 6–1"
1890,U.S. National Championships,Ellen C. Roosevelt,Bertha L. Townsend,"6–2, 6–2"
1890,Wimbledon Championships,Lena Rice,May Jacks,"6–4, 6–1"
1889,U.S. National Championships,Bertha L. Townsend,Lida D. Voorhes,"7–5, 6–2"
1889,Wimbledon Championships,Blanche Bingley Hillyard,Lena Rice,"4–6, 8–6, 6–4"
1888,U.S. National Championships,Bertha L. Townsend,Ellen Hansell,"6–3, 7–5"
1888,Wimbledon Championships,Lottie Dod,Blanche Bingley Hillyard,"6–3, 6–3"
1887,U.S. National Championships,Ellen Hansell,Laura Knight,"6–1, 6–0"
1887,Wimbledon Championships,Lottie Dod,Blanche Bingley,"6–2, 6–0"
1886,Wimbledon Championships,Blanche Bingley,Maud Watson,"6–3, 6–3"
1885,Wimbledon Championships,Maud Watson,Blanche Bingley,"6–1, 7–5"
1884,Wimbledon Championships,Maud Watson,Lillian Watson,"6–8, 6–3, 6–3[1]"
